transliteration,translation
Muṣaṣiraya I,nan
Muṣur I,nan
Muṣuraya I,nan
Muṣuraya II,nan
Muṣurayu I,nan
Nabu I,nan
Nabu-X-ahhešu I,nan
Nabu-abu-uṣur I,nan
Nabu-ah-iddin I,nan
Nabu-ahhe-bulliṭ I,nan
Nabu-ahhe-bulluṭ I,nan
Nabu-ahhe-ereš I,nan
Nabu-ahhe-eriba I,nan
Nabu-ahhe-iddin I,nan
Nabu-ahhe-iddina I,nan
Nabu-ahhe-lumur I,nan
Nabu-ahhe-šallim I,nan
Nabu-ahu-ereš I,nan
Nabu-ahu-eriba I,nan
Nabu-ahu-iddina I,nan
Nabu-ahu-uṣur I,nan
Nabu-apla-iddin I,nan
Nabu-aplu-iddina I,nan
Nabu-ayali I,nan
Nabu-ašared I,nan
Nabu-balassu-iqbi I,nan
Nabu-balliṭ I,nan
Nabu-balliṭanni I,nan
Nabu-ban-ahi I,nan
Nabu-ban-apli I,nan
Nabu-bani I,nan
Nabu-bani-ahhe I,nan
Nabu-bani-apli I,nan
Nabu-bani-šarri I,nan
Nabu-bel-ilani I,nan
Nabu-bel-šumati I,nan
Nabu-belu-kaʾʾin I,nan
Nabu-belu-uṣur I,nan
Nabu-bun-šutur I,nan
Nabu-damqi-ilani I,nan
Nabu-dan I,nan
Nabu-dannaka-lamur I,nan
Nabu-daʾʾinanni I,nan
Nabu-deni-amur I,nan
Nabu-deni-epuš I,nan
Nabu-deʾiq I,nan
Nabu-dur-beli I,nan
Nabu-dur-beliya I,nan
Nabu-dur-enši I,nan
Nabu-dur-maki I,nan
Nabu-dur-qalli I,nan
Nabu-duri I,nan
Nabu-duru-kuṣur I,nan
Nabu-duru-uṣur I,nan
Nabu-emuranni I,nan
Nabu-epuš I,nan
Nabu-ereš I,nan
Nabu-eriba I,nan
Nabu-eribanni I,nan
Nabu-eṭir I,nan
Nabu-eṭir-napšati I,nan
Nabu-eṭiranni I,nan
Nabu-gabbu-ileʾʾi I,nan
Nabu-gamil I,nan
Nabu-hamatua I,nan
Nabu-hamatuʾa I,nan
Nabu-hussanni I,nan
Nabu-iddin I,nan
Nabu-iddina I,nan
Nabu-ilaʾi I,nan
Nabu-ili I,nan
Nabu-iqbi I,nan
Nabu-iqiša I,nan
Nabu-iqišanni I,nan
Nabu-isseʾa I,nan
Nabu-iyyali I,nan
Nabu-išdiya-kaʾʾin I,nan
Nabu-kabti-ahhešu I,nan
Nabu-kašir I,nan
Nabu-kaʾʾin-aplu I,nan
Nabu-kaʾʾin-šarru I,nan
Nabu-kaṣir I,nan
Nabu-kenu-balliṭ I,nan
Nabu-kenu-dugul I,nan
Nabu-kenu-ubbib I,nan
Nabu-kenu-uṣur I,nan
Nabu-kibsi-uṣur I,nan
Nabu-killanni I,nan
Nabu-kudurri-uṣur I,nan
Nabu-kuṣuranni I,nan
Nabu-la-tuššaranni I,nan
Nabu-lešir I,nan
Nabu-leʾani I,nan
Nabu-leʾi I,nan
Nabu-leʾu I,nan
Nabu-malik I,nan
Nabu-mar-šarri-uṣur I,nan
Nabu-mudammiq I,nan
Nabu-mukin-apli I,nan
Nabu-mušallim I,nan
Nabu-mušezib I,nan
Nabu-nadin I,nan
Nabu-nadin-ahhe I,nan
Nabu-nadin-ahi I,nan
Nabu-nadin-apli I,nan
Nabu-nadin-šumi I,nan
Nabu-nakil I,nan
Nabu-nammir I,nan
Nabu-nashir I,nan
Nabu-natkil I,nan
Nabu-naʾid I,nan
Nabu-naṣir I,nan
Nabu-nuru-nammir I,nan
Nabu-pašir I,nan
Nabu-pirʾu-lešir I,nan
Nabu-qati-ṣabat I,nan
Nabu-qišanni I,nan
Nabu-ramat I,nan
Nabu-raʾim-ketti I,nan
Nabu-raʾim-nišešu I,nan
Nabu-rehtu-uṣur I,nan
Nabu-remanni I,nan
Nabu-reši-išši I,nan
Nabu-reʾuʾa I,nan
Nabu-riba-ahhe I,nan
Nabu-rim-ilani I,nan
Nabu-sagibi I,nan
Nabu-tabni-uṣur I,nan
Nabu-takilka-šatbi I,nan
Nabu-taklak I,nan
Nabu-tapputi-alik I,nan
Nabu-taqqinanni I,nan
Nabu-tariṣ I,nan
Nabu-tukulti I,nan
Nabu-turṣanni I,nan
Nabu-uballissu I,nan
Nabu-uballiṭ I,nan
Nabu-udammiq I,nan
Nabu-upaqa I,nan
Nabu-ussetiq I,nan
Nabu-ušabši I,nan
Nabu-ušallim I,nan
Nabu-ušezib I,nan
Nabu-uṣalla I,nan
Nabu-uṣalli I,nan
Nabu-zakir I,nan
Nabu-zaqip-enši I,nan
Nabu-zer-ibni I,nan
Nabu-zer-iddin I,nan
Nabu-zer-iqiša I,nan
Nabu-zer-ketti-lešir I,nan
Nabu-zer-kitti-lešir I,nan
Nabu-zer-kitti-lišir I,nan
Nabu-zer-lišir I,nan
Nabu-zer-ušabši I,nan
Nabu-zeru-ibni I,nan
Nabu-zeru-iddina I,nan
Nabu-zeru-iqiša I,nan
Nabu-zeru-lešir I,nan
Nabu-zeru-ušabši I,nan
Nabu-zeru-uṣur I,nan
Nabu-zuqup-kenu I,nan
Nabu-šabšu I,nan
Nabu-šadduni I,nan
Nabu-šadduʾa I,nan
Nabu-šagim I,nan
Nabu-šakin-šulmi I,nan
Nabu-šaliṭ I,nan
Nabu-šallim I,nan
Nabu-šallim-ahhe I,nan
Nabu-šallimšunu I,nan
Nabu-šapik-zeri I,nan
Nabu-šaqu-ana-ili I,nan
Nabu-šar-ahhešu I,nan
Nabu-šar-ilani I,nan
Nabu-šarhi-ili I,nan
Nabu-šarhu-ubaša I,nan
Nabu-šarrani I,nan
Nabu-šarru-ahhešu I,nan
Nabu-šarru-ibni I,nan
Nabu-šarru-ukin I,nan
Nabu-šarru-uṣur I,nan
Nabu-šezib I,nan
Nabu-šezibanni I,nan
Nabu-šimanni I,nan
Nabu-šum-iškun I,nan
Nabu-šum-lišir I,nan
Nabu-šum-ukin I,nan
Nabu-šum-uṣur I,nan
Nabu-šumu-ereš I,nan
Nabu-šumu-ibni I,nan
Nabu-šumu-iddina I,nan
Nabu-šumu-iškun I,nan
Nabu-šumu-kaʾʾin I,nan
Nabu-šumu-lešir I,nan
Nabu-šumu-uṣur I,nan
Nabur I,nan
Nabuti I,nan
Nabutu I,nan
Nabuza I,nan
Nabuʾa I,nan
Nadinu I,nan
Nagaru I,nan
Nagbu I,nan
Nahiranu I,nan
Nahuš-suri I,nan
Nammu I,nan
Namu I,nan
Nannabulugmahmu I,nan
Nannabulugmahŋu I,nan
Nappahu I,nan
Narkabtu I,nan
Narru I,nan
Narudu I,nan
Nattullu I,nan
Natunu I,nan
Našhuhu I,nan
Našuh-aplu-ušur I,nan
Našuh-ayali I,nan
Našuh-dala I,nan
Našuh-qati-ṣabat I,nan
Našuhu-madi I,nan
Naʾiru I,nan
Naṣrapu I,nan
Neberu I,nan
Nebuchadnezzar I,nan
Ner-e-tagmil I,nan
Nerab I,nan
Nergal I,nan
Nergal-ab-uṣur I,nan
Nergal-abu-uṣur I,nan
Nergal-ahu-uṣur I,nan
Nergal-apil-kumuʾa I,nan
Nergal-ašared I,nan
Nergal-balliṭ I,nan
Nergal-belu-uṣur I,nan
Nergal-dan I,nan
Nergal-duri I,nan
Nergal-epuš I,nan
Nergal-eṭir I,nan
Nergal-ibni I,nan
Nergal-iddin I,nan
Nergal-iddina I,nan
Nergal-ilaʾi I,nan
Nergal-ilu I,nan
Nergal-ipuš I,nan
Nergal-leʾi I,nan
Nergal-mudammiq I,nan
Nergal-mušezib I,nan
Nergal-naʾdi I,nan
Nergal-naṣir I,nan
Nergal-remanni I,nan
Nergal-tukulti I,nan
Nergal-uballissu I,nan
Nergal-uballit I,nan
Nergal-uballiṭ I,nan
Nergal-upniʾa I,nan
Nergal-šallim I,nan
Nergal-šallimanni I,nan
Nergal-šarrani I,nan
Nergal-šarru-ahhešu I,nan
Nergal-šarru-uṣur I,nan
Nergal-šezibanni I,nan
Nergal-šumu-ibni I,nan
Nergal-šumu-iddina I,nan
Nergal-šumu-uṣur I,nan
Neri-Yau I,nan
Neriglissar I,nan
Nerubanda I,nan
Nerulla I,nan
Nešu I,nan
Nidintu I,nan
Nidintu-Anu I,nan
Nidintu-Bel I,nan
Nidintu-Ištar I,nan
Nidintu-Nabu I,nan
Nidintu-šarri I,nan
Nihistu I,nan
Nihistu-Anu I,nan
Nikua I,nan
Nimru I,nan
Nimuš I,nan
Nindagar I,nan
Ninua I,nan
Ninuaya I,nan
Ninuayu I,nan
Ninul I,nan
Ninurbu I,nan
Ninurim I,nan
Ninursala I,nan
Ninurta I,nan
Ninurta-X I,nan
Ninurta-ušabši I,nan
Ninurta-šum-iddin I,nan
Ninutila I,nan
Ninuʾitu I,nan
Nipur I,nan
Niru I,nan
Niru Ša Tamti I,nan
Niššiku I,nan
Nugul I,nan
Nuhub I,nan
Numunabšaga I,nan
Numušda I,nan
Nunu I,nan
Nunua I,nan
Nunura I,nan
NunusAŠtumu I,nan
Nuru I,nan
Nušhu-salahanni I,nan
Pagru I,nan
Paharu I,nan
Palhu-ušezib I,nan
Palhu-šezib I,nan
Paluʾa I,nan
Pamu I,nan
Panigara I,nan
Panunanki I,nan
Paqutu I,nan
Parak-mari I,nan
Parak-šimati I,nan
Parakmari I,nan
Paramu I,nan
Parruṭu I,nan
Parsu I,nan
Parsua I,nan
Parsuaya I,nan
Parsumaš I,nan
Parutani I,nan
Paruṭu I,nan
Patamu I,nan
Pašanu I,nan
Pašittu I,nan
Peṣu I,nan
Piqaqu I,nan
Pirsu I,nan
Pirʾaya I,nan
Pudi I,nan
Puhi I,nan
Puhlû I,nan
Puhrat-Issar I,nan
Puhur-lešir I,nan
Puliaya I,nan
Pulu I,nan
Pulua I,nan
Pumu I,nan
Puqudu I,nan
Puqudu II,nan
Puranšû I,nan
Purattu I,nan
Purušhandar I,nan
Put-Ištar I,nan
Putaya I,nan
Putti I,nan
Puzur-Ellil I,nan
Puṭa-nuše I,nan
Puṭi-Athiš I,nan
Puṭi-Eše I,nan
Puṭiše I,nan
Puṭiširi I,nan
Puṭu-Meheši I,nan
Puṭu-Paiti I,nan
Puṭu-šisi I,nan
Puṭupyati I,nan
Qallatu I,nan
Qalunzu I,nan
Qaniun I,nan
Qannasusi I,nan
Qanni I,nan
Qanse I,nan
Qaribu I,nan
Qaštu I,nan
Quaqua I,nan
Qubate I,nan
Qudanati I,nan
Qudaru I,nan
Qudaya I,nan
Qudmu I,nan
Que I,nan
Quli I,nan
Qullulu I,nan
Qumaru I,nan
Qumbatu I,nan
Qunbuna I,nan
Quni-Huru I,nan
Ququ I,nan
Ququʾa I,nan
Qurani I,nan
Qurbu-abuʾa I,nan
Qurbu-ilu I,nan
Qurdi I,nan
Qurdi-Adad I,nan
Qurdi-Aššur I,nan
Qurdi-Dadi I,nan
Qurdi-Harran I,nan
Qurdi-Issar I,nan
Qurdi-Issar-lamur I,nan
Qurdi-Nergal I,nan
Quri I,nan
Qurqusia I,nan
Quruba I,nan
Qurubi I,nan
Qutari I,nan
Qutnu I,nan
Quwaya I,nan
Quwayu I,nan
Quwe I,nan
Quya I,nan
Rab-bani I,nan
Rab-limi I,nan
Rabi-Anu I,nan
Rabilaya I,nan
Rabla I,nan
Rabsisi I,nan
Rasitu I,nan
Rasuʾ I,nan
Ratulu I,nan
Rašu I,nan
Raʾsunu I,nan
Raʾu I,nan
Rehtu-uṣur I,nan
Remut-Adad I,nan
Remut-Babu I,nan
Remut-Bel I,nan
Remut-ilani I,nan
Remut-ili I,nan
Remutu I,nan
Remuʾa I,nan
Reʾu I,nan
Rimut I,nan
Rimut-Anu I,nan
Rimut-Gula I,nan
Rimut-Nabu I,nan
Rimut-ilani I,nan
Rubuʾu I,nan
Ruʾua I,nan
Ruʾuaya I,nan
Sa-abu I,nan
Sa-eṭir I,nan
Sa-hpi-mau I,nan
Sa-ṣidqi I,nan
Sabaʾ I,nan
Sabhanu I,nan
Sabuʾ I,nan
Sadarnuna I,nan
Sadaya I,nan
Sadiru I,nan
Sadiru II,nan
Sagab I,nan
Saggar I,nan
Saggiaya I,nan
Saggil I,nan
Saggil-biʾdi I,nan
Saggil-ramat I,nan
Saggil-šarru-uṣur I,nan
Sagib-il I,nan
Sagibi I,nan
Sagibu I,nan
Sagiru I,nan
Sagku I,nan
Sagmegar I,nan
Sahar-ili I,nan
Sahhi I,nan
Sahitu-sattukki I,nan
Sahra I,nan
Sahur I,nan
Sairu I,nan
Saka-il I,nan
Sakkannu I,nan
Sakkuanaya I,nan
Saklu I,nan
Sakuata I,nan
Salam-Adad I,nan
Salam-ammi I,nan
Salamanu I,nan
Salamme I,nan
Salamu I,nan
Salamu-annu I,nan
Salamu-imme I,nan
Salilanu I,nan
Salimitu I,nan
Sallat I,nan
Sallimaya I,nan
Salmanu-ašared I,nan
Salmanu-imme I,nan
Salsali I,nan
Samaku I,nan
SamanKULINE I,nan
Samanaya I,nan
Samanu I,nan
Samati I,nan
Samaʾ I,nan
Samerina I,nan
Sameʾ I,nan
Samiku I,nan
Samirinaya I,nan
Sammu-rama I,nan
Samnuha-belu-uṣur I,nan
Samnuha-bessunu I,nan
Samsi I,nan
Samsi-natan I,nan
Samsu-iluna I,nan
Samunu-yatuni I,nan
Samʾalla I,nan
Sananu I,nan
Sanaʾil I,nan
Sanda-pi I,nan
Sangi I,nan
Sangi-Issar I,nan
Sanha I,nan
Sani I,nan
Saniti I,nan
Saniye I,nan
Sapia I,nan
Sapiku I,nan
Sapin-ayyabi I,nan
Sapirrutu I,nan
Sar-uarri I,nan
Sara-il I,nan
Saraga I,nan
Saraya I,nan
Sardug I,nan
Sarduriani I,nan
Sare I,nan
Sariuni I,nan
Sarrabanaya I,nan
Sarukina I,nan
Sasallu I,nan
Sasardug I,nan
Sasi I,nan
Sasu I,nan
Sasuka I,nan
Satarnu I,nan
Sazana I,nan
Saŋbaršudu I,nan
Saŋkara I,nan
Saʾabu I,nan
Saʾeru I,nan
Saʾilu I,nan
Saʾiru I,nan
Saʾumu I,nan
Saʾuti I,nan
Sebetti I,nan
Sebetti-ilaʾi I,nan
Sebettu I,nan
Seʾṭuri I,nan
Si-abu I,nan
Sidu I,nan
Sigsig I,nan
Sigzaginna I,nan
Sihana I,nan
Siki I,nan
Sikilamezu I,nan
Sikris I,nan
Sili I,nan
Silili I,nan
Silim-Adad I,nan
Silim-Aššur I,nan
Silim-Bel I,nan
Silim-Dadi I,nan
Silim-Inurta I,nan
Silim-Issar I,nan
Silim-Seʾ I,nan
Silim-ili I,nan
Silimmu I,nan
Silimu I,nan
Simanayu I,nan
Simanu I,nan
Simaški I,nan
Simbar-šipak I,nan
Simesime I,nan
Simurru I,nan
Sin I,nan
Sin-abu-uṣur I,nan
Sin-ahhe-eriba I,nan
Sin-ahhe-iddin I,nan
Sin-ahu-iddina I,nan
Sin-ahu-uṣur I,nan
Sin-alik-pani I,nan
Sin-aplu-iddina I,nan
Sin-aplu-uṣur I,nan
Sin-ašared I,nan
Sin-balassu-iqbi I,nan
Sin-banunu I,nan
Sin-belu-uṣur I,nan
Sin-duri I,nan
Sin-duru-uṣur I,nan
Sin-ereš I,nan
Sin-eriba I,nan
Sin-eṭir I,nan
Sin-ibni I,nan
Sin-iddina I,nan
Sin-ilaʾi I,nan
Sin-kašir I,nan
Sin-kenu-uṣur I,nan
Sin-kuṣuranni I,nan
Sin-leqi-unninni I,nan
Sin-mutaqqin I,nan
Sin-nadin-ahhe I,nan
Sin-nadin-ahi I,nan
Sin-natannu I,nan
Sin-naʾdi I,nan
Sin-naṣir I,nan
Sin-remanni I,nan
Sin-taklak I,nan
Sin-uballiṭ I,nan
Sin-zaqip I,nan
Sin-zeru-ibni I,nan
Sin-zeru-iddina I,nan
Sin-šallimanni I,nan
Sin-šar-ahhešu I,nan
Sin-šar-ilani I,nan
Sin-šar-iškun I,nan
Sin-šar-uṣur I,nan
Sin-šarra-iškun I,nan
Sin-šarru-ibni I,nan
Sin-šarru-uṣur I,nan
Sin-šumu-ibni I,nan
Sin-šumu-lišir I,nan
Sin-ṣala I,nan
Sina I,nan
Sinainni I,nan
Singara I,nan
Sinnu I,nan
Sinqi I,nan
Sinqi-Issar I,nan
Sinu I,nan
Sinu II,nan
Siparranu I,nan
Siplia I,nan
Sippar I,nan
Sipparaya I,nan
Sippiritu I,nan
Siqi-Issar I,nan
Sirara I,nan
Siraš I,nan
Sirsir I,nan
Siru I,nan
Sirura I,nan
Sisa I,nan
Sisakalama I,nan
Sisanuhalama I,nan
Sisi I,nan
Sisu I,nan
Sitirkanu I,nan
Siʾe I,nan
Siʾimme I,nan
Su-Baʾal I,nan
Sua I,nan
Subartu I,nan
Sudanina I,nan
Sudaŋ I,nan
Sudgan I,nan
Suen I,nan
Sugal I,nan
Suhaya I,nan
Suhayu I,nan
Suhgurim I,nan
Suhiru I,nan
Suhrim I,nan
Suhu I,nan
Suhuramu I,nan
Suhurmašu I,nan
Suitka I,nan
Sukkaia I,nan
Sukkaya I,nan
Sulaya I,nan
Sulāmum I,"""Friendly"" OB in PN"
Sumaya I,nan
Sumbi I,nan
Sumer I,nan
Sumuqan I,nan
Sumurunu I,nan
Sumurzu I,nan
Sumut-Anu I,nan
Sumuti I,nan
Sumuttu-Anu I,nan
Sun-Issar I,nan
Suna I,nan
Sunaya I,nan
Suni I,nan
Supuri-eddete I,nan
Suq-ili I,nan
Suqayu I,nan
Surarati I,nan
Surarte I,nan
Suraya I,nan
Surianaya I,nan
Surmarrati I,nan
Surrugal I,nan
Susa I,nan
Susanaya I,nan
Susi I,nan
Susu I,nan
Susya I,nan
Sutu I,nan
Suʾa I,nan
Tabalu I,nan
Tabalu II,nan
Tabluṭ I,nan
Tahalu I,nan
Takkulu I,nan
Takšatu I,nan
Talmusa I,nan
Tamgitu I,nan
Tamurṭiše I,nan
Tanittu I,nan
Tanittu-Anu I,nan
Tappuya I,nan
Taraqu I,nan
Tarlugallu I,nan
Tašmetu I,nan
Tašritu I,nan
Tidu I,nan
Tikku I,nan
Tilmun I,nan
Tinuru I,nan
Tiurame I,nan
Tubliaš I,nan
Tubu I,nan
Tuenbieneenasaga I,nan
Tuimmu I,nan
Tukriš I,nan
Tuku I,nan
Tukulti-Ellil I,nan
Tukulti-Ninurta I,nan
Tukulti-apil-Ešarra I,nan
Tukur I,nan
Tuqun-Issar I,nan
Tuqunu I,nan
Tuqunu-ereš I,nan
Turemenitu I,nan
Turna I,nan
Turran I,nan
Tursana I,nan
Tursana II,nan
Turṣi-Issar I,nan
Tuti I,nan
Tutu I,nan
Tuwi I,nan
Tušhan I,nan
Tuʾamu I,nan
Tuʾamu Rabutu I,nan
Tuʾamu Ṣehrutu I,nan
Tuʾatu I,nan
Tuʾaumu I,nan
Tuʾaya I,nan
Tuʾayu I,nan
Tuʾmanaya I,nan
U I,nan
U II,nan
UKKIN I,nan
URU×IGI-URU×IGI I,nan
Uaksatar I,nan
Uarbisi I,nan
Uaru I,nan
Uaua I,nan
Ubanuila I,nan
Ubar I,nan
Ubar-Harran I,nan
Ubar-Tutu I,nan
Ubartu I,nan
Ubaru I,nan
Ubase I,nan
Ubbuku I,nan
Ubbuqu I,nan
Ubraki I,nan
Ubri I,nan
Ubru-Adad I,nan
Ubru-Allaya I,nan
Ubru-Aššur I,nan
Ubru-Babili I,nan
Ubru-Harran I,nan
Ubru-Issar I,nan
Ubru-Libbali I,nan
Ubru-Madanu I,nan
Ubru-Mullissi I,nan
Ubru-Nabu I,nan
Ubru-Nergal I,nan
Ubru-Palil I,nan
Ubru-Sebetti I,nan
Ubru-Sin I,nan
Ubru-ahhe I,nan
Ubru-ahhešu I,nan
Ubru-ekurri I,nan
Ubru-ili I,nan
Ubru-suni I,nan
Ubru-šarri I,nan
Ubrutu I,nan
Ububul I,nan
Ubulu I,nan
Ubšukkinnakku I,nan
Udanduga I,nan
Udannu I,nan
Ude I,nan
Ude-anše I,nan
Udeguba I,nan
Udera I,nan
Uderara I,nan
Udezidana I,nan
Udgude I,nan
Udia I,nan
Udkirizalana I,nan
Udmenana I,nan
Udsakar I,nan
Udsura I,nan
Uduggaga I,nan
Udugsiga I,nan
Udumaya I,nan
Ugar-Nabu I,nan
Uggu I,nan
Ugine I,nan
Ugur I,nan
Uhima I,nan
Uhiʾa I,nan
Ukaduha I,nan
Ukkaya I,nan
Ukkayu I,nan
Ukku I,nan
Ukulla I,nan
Ulay I,nan
Ulaya I,nan
Ulaya II,nan
Uliaya I,nan
Ulka I,nan
Ullu I,nan
Ullubaya I,nan
Ullusunu I,nan
Ulsigga I,nan
Uluaya I,nan
Uluaza I,nan
Ululayu I,nan
Ululu Arku I,nan
Ululu I,nan
Ulušia I,nan
Umadi I,nan
Umban-kidinni I,nan
Umite I,nan
Umman-igaš I,nan
Umman-manda I,nan
Umman-mina I,nan
Ummaniša I,nan
Ummi-iʾi I,nan
Umun I,nan
Umunmutamnag I,nan
Umušana I,nan
Umuškita I,nan
Umuštaabzu I,nan
Unaniši I,nan
Ungal I,nan
Ungal-Nibru I,nan
Unken I,nan
Unkenuru I,nan
Unzarhu I,nan
Unzarhu-Aššur I,nan
Unzarhu-Issar I,nan
Upaq-Šamaš I,nan
Upaqa-ana-Arbail I,nan
Upaqu I,nan
Upi I,nan
Uppite I,nan
Upumu I,nan
Uqupu I,nan
Uquputu I,nan
Uqur-Adad I,nan
Uqur-ahhe I,nan
Uquwa I,nan
Ur I,nan
Ur-Gula I,nan
Ur-Meme I,nan
Ur-Nammu I,nan
Ur-Nanna I,nan
Ur-Nintinuga I,nan
Ur-Šanabi I,nan
Ura I,nan
Urabu I,nan
Urakka I,nan
Urala I,nan
Urammu I,nan
Urarṭaya I,nan
Urarṭayu I,nan
Urarṭu I,nan
Urasu I,nan
Uraya I,nan
Uraya II,nan
Uraš I,nan
Uraš-riba I,nan
Urbad I,nan
Urbadhumhum I,nan
Urbayu I,nan
Urbilitu I,nan
Urburu I,nan
Urda I,nan
Urda-Inurta I,nan
Urda-Ninurta I,nan
Urdalika I,nan
Urdaya I,nan
Urdi I,nan
Urdu I,nan
Urdu-Allaya I,nan
Urdu-Aya I,nan
Urdu-Aššur I,nan
Urdu-Baniti I,nan
Urdu-Belet I,nan
Urdu-Dagan I,nan
Urdu-Gula I,nan
Urdu-Inurta I,nan
Urdu-Issar I,nan
Urdu-Issaran I,nan
Urdu-Mullissi I,nan
Urdu-Nabu I,nan
Urdu-Nanaya I,nan
Urdu-Nergal I,nan
Urdu-Sin I,nan
Urdu-Yarda I,nan
Urdu-ahhešu I,nan
Urdu-apli I,nan
Urdu-ilani I,nan
Urdu-Šamaš I,nan
Urgulu I,nan
Urhulaya I,nan
Uri-Ya I,nan
Uriakka I,nan
Uriakkaya I,nan
Uridimmu I,nan
Urik I,nan
Urimkirizal I,nan
Uringal I,nan
Urkime I,nan
Urkitti-ilaʾi I,nan
Urkittu-leʾat I,nan
Urkittu-reminni I,nan
Urkittu-rišat I,nan
Urkittu-tašmanni I,nan
Urkitu I,nan
Urmah I,nan
Urmakinnu I,nan
Urpalaʾa I,nan
Urriha I,nan
Urtaku I,nan
Uru I,nan
Urugal I,nan
Uruk I,nan
Urukaya I,nan
Urulli I,nan
Urumeqa I,nan
Urutab I,nan
Urza I,nan
Urzana I,nan
Urzunapi I,nan
Uršume I,nan
Urṣene I,nan
Useaʾ I,nan
Usmu I,nan
Usna I,nan
Uta I,nan
Uta-Huru I,nan
Uta-napišti I,nan
Utab I,nan
Uttu I,nan
Utu I,nan
Utu-Abzu I,nan
Utu-hengal I,nan
Utulu I,nan
Uznanu I,nan
Uzumu'a I,nan
Ušhaya I,nan
Uštalahi I,nan
Ušti I,nan
Uʾana-Adapa I,nan
Uʾaneduga I,nan
Uʾe I,nan
Uṣunali I,nan
Uṣur-Adad I,nan
Uṣur-amassu I,nan
Uṣurtu I,nan
Waisi I,nan
Waksatar I,nan
Wazae I,nan
Wazana I,nan
Wazaun I,nan
Yanzu I,nan
Yatiʾ I,nan
Yaʾudu I,nan
Zaba I,nan
Zaba-iqiša I,nan
Zababa I,nan
Zababa-ah-iddin I,nan
Zababa-ahu-uṣur I,nan
Zababa-ereš I,nan
Zababa-eriba I,nan
Zabadu I,nan
Zaban I,nan
Zabaya I,nan
Zabayu I,nan
Zabban I,nan
Zabbua I,nan
Zabda I,nan
Zabdanu I,nan
Zabdi I,nan
Zabdi-il I,nan
Zabdiyi I,nan
Zabgaga I,nan
Zabgagaya I,nan
Zabina I,nan
Zabina-ili I,nan
Zabinu I,nan
Zabudu I,nan
Zaddi I,nan
Zaduagubu I,nan
Zaduazida I,nan
Zagar I,nan
Zahaṭuṭu I,nan
Zahe I,nan
Zahgurim I,nan
Zahrim I,nan
Zakir I,nan
Zakiru I,nan
Zakkuru I,nan
Zakrutu I,nan
Zakuti I,nan
Zala I,nan
Zalipaya I,nan
Zana I,nan
Zanbayu I,nan
Zannaru I,nan
Zanzanu I,nan
Zappu I,nan
Zaqiru I,nan
Zar-Issar I,nan
Zarana I,nan
Zari I,nan
Zarpan I,nan
Zarpanitu I,nan
Zarpi I,nan
Zaruti I,nan
Zarʾuti I,nan
Zaza I,nan
Zazaki I,nan
Zazakku I,nan
Zazaya I,nan
Zazi I,nan
Zeru-ibni I,nan
Zeru-iddina I,nan
Zeru-ken I,nan
Zeru-lešir I,nan
Zeru-samaʾ I,nan
Zeruti I,nan
Zerutu I,nan
Zibanitu I,nan
Zibbatu I,nan
Ziqiqu I,nan
Zubi-ṣidqi I,nan
Zulum I,nan
Zulummar I,nan
Zumbu I,nan
Zunbu I,nan
Zuqaqipu I,nan
Zuʾilusu I,nan
ababu I,"""forest"" jB lex."
ababu II,mng. unkn. jB lex.
abahšinnu I,"~ ""stalk"" Bab. as edible commodity"
abal I,"""without"" NB"
abamātu I,"""sea"" jB lex."
abarša I,"""truly, certainly"" jB"
abb... I,also = ana b...
abiheri I,mng. unkn. Nuzi
abunikītu I,mng. unkn. MB
aburriṣānu I,mng. unkn. M/jB lex.
abušim I,mng. uncl. jB
abābu I,nan
adammūmu I,"NA pl. f. ""wasp"" jB, NA"
adamtu I,mng. unkn. jB lex.
adapu III,"""wise"" jB lex."
adattu I,"""succulent part of reed"" jB [GI.ÚR]"
adašhu I,mng. unkn. jB lex.
add... I,also = ana d...
addu I,"~ ""throwstick"" M/jB"
addâ I,"""daddy""? OB"
adima I,nan
adnātu I,"pl. tant. ""world, people"" jB"
adudilu I,"""praying mantis"" jB"
aduru I,"""mirror""? jB lex."
aduššu I,"~ ""enclosure wall"" O/jB"
adû V,"""leader"" jB lex."
adû VI,mng. unkn. jB lex.
adūpi I,mng. unkn. jB lex.
agg... I,also = ana g...
aguhhu I,"OAkk Hurr. pl. aguhhena ""sash, belt"" OAkk, O/jB"
agūgūtu I,"""status of agūgu"" jB"
agūnu I,"""tiara"" jB lex."
ahh... I,also = ana h...
ahhu I,"""dry wood"" jB lex."
ahula I,"""alas!"" NA, also in PNs"
ahum I,"""separately, besides"" OA"
ahurrû I,"""junior"" jB 1. ""social inferior""2. ""younger child"""
ai II,"""alas!"" Bab."
akalūtu I,"~ ""tree"" O/jB"
akannama I,"""similarly, likewise"" Am., Bogh., Ug."
akaru I,mng. unkn. jB lex.
akatu I,mng. unkn. jB lex.
akia I,"""in the following way"" M/NA, Bogh."
akk... I,also = ana k...
akkadattu I,"""in Akkadian"" NB"
akkullātu I,"pl. tant. ""clods""? of field NB"
akkû I,"""owl"" jB lex., NA"
akmu I,mng. unkn. jB lex.
akâ I,adv. mng. unkn. Bogh.
akû III,"~ ""mooring pole""? jB lex."
akāmmu I,"""granary""? jB lex."
aladumma I,nan
alahittu I,mng. unkn. jB
alallû I,"""drain, pipe"" O/jB [ÁLAL]"
